icmpv6,udp,wpan,src_mac,src_ip,src_port,dst_mac,dst_ip,dst_port,init_ts,last_ts,ts,duration,label
0,1,0,5194097224646913,::212:7401:1:101,5555,5194131584911625,::212:7409:9:909,6666,1909500.0,1914300.0,1622120000000000.0,4841727,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194105814713091,::212:7403:3:303,6666,1909700.0,1909700.0,1622120000000000.0,49301,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7405:5:505,6666,1911400.0,1911400.0,1622120000000000.0,52952,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7402:2:202,6666,1911800.0,1916500.0,1622120000000000.0,4711630,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1912300.0,1912300.0,1622120000000000.0,0,0
1,0,0,5194101519680002,fe80::212:7402:2:202,0,18446744073709551615,ff02::1a,0,1912700.0,1912700.0,1622120000000000.0,0,0
1,0,0,5194118699812358,fe80::212:7406:6:606,0,18446744073709551615,ff02::1a,0,1913700.0,1913700.0,1622120000000000.0,0,0
0,0,1,0,0,0,0,0,0,1913800.0,1918200.0,1622120000000000.0,4406637,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1914200.0,1918800.0,1622120000000000.0,4601577,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194118699812358,::212:7406:6:606,6666,1914800.0,1919300.0,1622120000000000.0,4471408,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194105814713091,::212:7403:3:303,6666,1915600.0,1915600.0,1622120000000000.0,33663,0
1,0,0,5194105814713091,fe80::212:7403:3:303,0,18446744073709551615,ff02::1a,0,1916700.0,1916700.0,1622120000000000.0,0,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1916700.0,1916700.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7405:5:505,6666,1917100.0,1917100.0,1622120000000000.0,45141,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194135879944714,::212:740a:a:a0a,6666,1917500.0,1917500.0,1622120000000000.0,0,0
1,0,0,5194140174977803,fe80::212:7406:6:606,0,5194118699812358,fe80::212:740b:b:b0b,0,1917500.0,1917500.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1917600.0,1917600.0,1622120000000000.0,0,0
0,1,0,5194140174977803,::212:7401:1:101,5555,5194097224646913,::212:740b:b:b0b,6666,1918100.0,1918200.0,1622120000000000.0,31604,0
0,0,1,0,0,0,0,0,0,1918800.0,1923600.0,1622120000000000.0,4820621,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194131584911625,::212:7409:9:909,6666,1920300.0,1920300.0,1622120000000000.0,29226,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194105814713091,::212:7403:3:303,6666,1921500.0,1921500.0,1622120000000000.0,49285,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7402:2:202,6666,1922000.0,1922000.0,1622120000000000.0,11428,0
1,0,0,5194105814713091,fe80::212:7403:3:303,0,5194118699812358,fe80::212:7406:6:606,0,1922000.0,1922000.0,1622120000000000.0,51580,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1922000.0,1922000.0,1622120000000000.0,15605,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7405:5:505,6666,1922200.0,1922300.0,1622120000000000.0,45139,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1922800.0,1927700.0,1622120000000000.0,4828108,0
1,0,0,5194140174977803,fe80::212:740b:b:b0b,0,18446744073709551615,ff02::1a,0,1923000.0,1923000.0,1622120000000000.0,0,0
0,1,0,5194140174977803,::212:7401:1:101,5555,5194097224646913,::212:740b:b:b0b,6666,1923200.0,1923200.0,1622120000000000.0,11512,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194135879944714,::212:740a:a:a0a,6666,1923300.0,1923300.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1923400.0,1923400.0,1622120000000000.0,0,0
